artist_id,artist_name,genres,followers,artist_popularity,created_at
0b1sIQumIAsNbqAoIClSpy,j-hope,"k-pop, k-rap",19446497,80,2025-12-08 15:29:45
0tkHE1pQ5ZCgQb8WZ0ba79,Gaeko,k-rap,155957,56,2025-12-08 15:29:45
0Vw76uk7P8yVtTClWyOhac,HONNE,,1613064,63,2025-12-08 15:29:45
0YplwoXhpH25C92IduQ6RK,MFBTY,k-rap,23900,37,2025-12-08 15:29:45
12AUp9oqeJDhNfO6IhQiNi,Lee Seung Gi,k-ballad,178274,43,2025-12-08 15:29:45
164Uj4eKjl6zTBKfJLFKKK,JVKE,,5983400,78,2025-12-08 15:29:45
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,,11010099,78,2025-12-08 15:29:45
1bqxdqvUtPWZri43cKHac8,MAX,,973502,65,2025-12-08 15:29:45
1hJ6EZjb0pnvPeBdzulrUr,JO KWON,k-pop,16630,30,2025-12-08 15:29:45
1kcYSWblYWOOMVOPNgbMYI,Drunken Tiger,k-rap,53382,34,2025-12-08 15:29:45
1oSPZhvZMIrWW5I41kPkkY,Jimin,k-pop,10967095,80,2025-12-08 15:29:45
26VFTg2z8YR0cCuwLzESi2,Halsey,,22503763,82,2025-12-08 15:29:45
2auC28zjQyVTsiZKNgPRGs,RM,"k-pop, k-rap",17834728,73,2025-12-08 15:29:45
2dd5mrQZvg6SmahdgVKDzh,PSY,k-pop,1836771,64,2025-12-08 15:29:45
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,,6686659,81,2025-12-08 15:29:45
3E0zmIZJN85yOovfGHoH8k,BTS Island: In the SEOM,,783180,22,2025-12-08 15:29:45
3HqSLMAZ3g3d5poNaI7GOU,IU,"k-pop, k-ballad",9474691,68,2025-12-08 15:29:45
3JsHnjpbhX4SnySpvpa9DK,V,k-pop,20175504,78,2025-12-08 15:29:45
3NdOtTPPaXrCyC7Lpmzyhv,TABLO,"k-pop, k-rap",296502,57,2025-12-08 15:29:45
3Nrfpe0tUJi4K4DXYWgMUX,BTS,k-pop,81612821,87,2025-12-08 15:29:45
3VQDqjQ4wJyw8PzpGdlZpB,Colde,,702503,60,2025-12-08 15:29:45
3ZSbXArE6mxOleJnsumK4u,eAeon,,181265,43,2025-12-08 15:29:45
43qbEc59aqLydrvuWsrNoE,OKDAL,"k-ballad, chinese indie",42638,33,2025-12-08 15:29:45
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,,12620846,82,2025-12-08 15:29:45
4ClziihVpBeFXNyDH83Lde,UMI,,1067948,59,2025-12-08 15:29:45
4Gso3d4CscCijv0lmajZWs,Don Toliver,,7695533,87,2025-12-08 15:29:45
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,,61491051,90,2025-12-08 15:29:45
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,"melodic rap, emo rap",43106835,87,2025-12-08 15:29:45
4QDcs3XrA8uHUZ7Xt9Ytep,Primary,k-rap,177593,50,2025-12-08 15:29:45
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,k-pop,8301585,82,2025-12-08 15:29:45
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,"emo, pop punk",11495343,80,2025-12-08 15:29:45
51sg5jUqKu2tkbmPlwPrNH,BTS World,,1266166,0,2025-12-08 15:29:45
52PzQ1a9Gr6RPcpbpCX9jN,lady Jane,,6481,30,2025-12-08 15:29:45
56mfhUDKa1vec6rSLZV5Eg,Jawsh 685,,147172,57,2025-12-08 15:29:45
58BWh3yJrluDugLv0QF0eC,Lee So Ra,"k-ballad, k-pop",64794,44,2025-12-08 15:29:45
5CiGnKThu5ctn9pBxv7DGa,benny blanco,,1670449,74,2025-12-08 15:29:45
5dCvSnVduaFleCnyy98JMo,Heize,"k-ballad, k-pop",1308377,60,2025-12-08 15:29:45
5JZ7CnR6gTvEMKX4g70Amv,Lauv,,6855886,75,2025-12-08 15:29:45
5RmQ8k4l3HZ8JoPb4mNsML,Agust D,"k-pop, k-rap",15662067,75,2025-12-08 15:29:45
5SnaL8SsjGMHQNyqpa8Zos,2AM,"k-ballad, k-pop",238268,43,2025-12-08 15:29:45
5tsAGzBkkAM9DtfYfJy456,Kan Mi Youn,,3282,24,2025-12-08 15:29:45
5vV3bFXnN6D6N3Nj4xRvaV,Jin,k-pop,9826704,80,2025-12-08 15:29:45
6a8KtGpAv3NHL713mcH08a,yankie,k-rap,3003,41,2025-12-08 15:29:45
6aLdhHUqgdKE86xbtNmY8g,Crush,"k-rap, k-pop, k-ballad",1355839,63,2025-12-08 15:29:45
6GwM5CHqhWXzG3l5kzRSAS,Younha,k-ballad,601430,53,2025-12-08 15:29:45
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,k-pop,18853696,82,2025-12-08 15:29:45
6hgAxdLyAScworv2mZucqK,ØMI,,53719,34,2025-12-08 15:29:45
6MLmtxHkGVuPhYIcMUm1AQ,Lee Hyun,k-ballad,109402,32,2025-12-08 15:29:45
6udveWUgX4vu75FF0DTrXV,TAEYANG,k-pop,1843323,66,2025-12-08 15:29:45
6vbKIm1WsvhMMDpthYONc1,Balming Tiger,k-rap,125713,48,2025-12-08 15:29:45
6VDMtQjKKIrMJ3bog4MdaJ,Lim Jeong Hee,k-ballad,4673,28,2025-12-08 15:29:45
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,"soft pop, pop",25513560,82,2025-12-08 15:29:45
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,"electro house, edm",3795312,72,2025-12-08 15:29:45
7H5EC2qaylGun66YeRrVHg,So!YoON!,k-rock,248263,50,2025-12-08 15:29:45
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,,12314764,74,2025-12-08 15:29:45
